index,text,topic,subtopic
237,ทุกคนใช้รูปขนาดเท่าไหร่ติดใบสมัครคะ  #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'เอกสาร']","['เอกสาร', 'การกรอกเอกสาร']"
239,หาเพื่อนสมัครรอบนี้ คณะศิลปศาสตร์ สาขา ภาษาอังกฤษ ครับบ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['ศิลปศาสตร์', 'เพื่อน']"
238,สามารถถามใครได้บ้างมั้ยคะ จนมุมมากๆ#ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การติดต่อ', 'คำแนะนำ']"
242,"หลังจากที่ส่งไฟล์เอกสารเสร็จแล้วเราไม่สามารถดูจำนวนผู้สมัครได้แล้วใช่มั้ยคะ หรือถ้าดูได้เข้าไปดูตรงไหนคะ บอกบุญเค้าหน่อย ㅠㅠ    
#ธรรมศาสตร์ช้างเผือก","['ธรรมศาสตร์ช้างเผือก', 'ระบบ']","['สถิติผู้สมัคร', 'การเข้าถึงข้อมูล']"
240,สมัครได้ถึง16ตอนกี่โมงอะคะ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['เวลาประกาศผล', 'การสมัคร']"
243,มีคนสมัครไม่ทันมั้ยคะ เราสมัครไม่ทันคนที่สมัครทันขอให้ติดกันนะคะ เราเป็นกำลังใจให้ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],['การสมัคร']
249,มีใครยื่นนิติบ้างมั้ยครับ  #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['นิติศาสตร์', 'เพื่อน']"
244,อันนี้คือสมัครเรียบร้อยแล้วใช่มั้ยคะ #ธรรมศาสตร์ช้างเผือก #ธรรมศาสตร์รังสิต,['ธรรมศาสตร์ช้างเผือก'],['การสมัคร']
248,อยากสอบถามค่ะะะ พอดีเราอยากแก้ไขไฟล์ที่ส่งไปใหม่ เราต้องกดยกเลิกใบสมัคร หรือกดอับโหลดไฟล์ใหม่หรอคะะะ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'เอกสาร']","['การแก้ไขเอกสาร', 'การอัพโหลดเอกสาร']"
250,"อยากสอบถามค่ะ ใครยื่นโครงการมธ.ช้างเผือกคณะรัฐศาสตร์ เอกบริหารรัฐกิจได้คะแนนTGATกันประมาณไหนบ้างคะ
#ธรรมศาสตร์ช้างเผือก","['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['รัฐศาสตร์', 'สถิติผู้สมัคร']"
251,คนที่ยื่นเทคนิคการแพทย์ ได้tgatกันเท่าไหร่บ้างคะ;-; #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['เทคนิคการแพทย์', 'สถิติผู้สมัคร']"
260,อยากทราบว่าเค้าประกาศกี่โมงอะคะ   #ธรรมศาสตร์ช้างเผือก #ทีมมธ,['ธรรมศาสตร์ช้างเผือก'],['เวลาประกาศผล']
262,ถ้ามีรายชื่อสิทธิ์สอบสัมภาษณ์จะมีโอกาสได้มั้ยคะ ช่วยตอบเค้าที #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'ผลการพิจารณา']"
264,อยากรู้ว่าเค้าจะเยี่ยมบ้านก่อนประกาศรายชื่อหรือว่าประกาศรายชื่อก่อนเยี่ยมบ้านคะ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การเยี่ยมบ้าน', 'การประกาศผล']"
270,มีใครโหลดแบบฟอร์มการตรวจร่างกายของพยาบาลได้บ้างคะ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'เอกสาร', 'คณะ']","['พยาบาล', 'เอกสาร']"
273,อยากรู้ว่าคนที่ติด #ธรรมศาสตร์ช้างเผือก จำเป็นต้องมีผลงานการแข่งขันอะไรอย่างงี้มั้ยคะ เราจะยื่นปีหน้าแต่ไม่มีผลงานแข่งขันอะไรเลย,['ธรรมศาสตร์ช้างเผือก'],"['คุณสมบัติผู้สมัคร', 'เกณฑ์การพิจารณา']"
283,มีใครสามารถแคปมาได้ไหมคะ เรากดดูไม่ได้ ของเทคนิคการแพทย์กับ ศิลปศาสตร์ค่ะ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['เทคนิคการแพทย์', 'ศิลปศาสตร์', 'การเข้าถึงข้อมูล']"
287,"คนติดสัมฯ ส่วนใหญ่ต้องเดินทางไปสัมฯ ที่มอ ใช่ไหมคะ
#ธรรมศาสตร์ช้างเผือก",['ธรรมศาสตร์ช้างเผือก'],['การสัมภาษณ์']
289,มีใครติดสัมสังวิทมั้ยคะ หรือพี่ๆเพื่อนๆคนไหนพอจะแนะนำการสัมภาษณ์ได้บ้างมั้ยคะㅠㅠ #ธรรมศาสตร์ช้างเผือก #ทีมมธ,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['การสัมภาษณ์', 'คำแนะนำ']"
290,นิติรอบนี้โครงการนี้ต้องใช้วิชาเฉพาะใช่มั้ยคะ แต่คือสมัครไปแล้ว  #ธรรมศาสตร์ช้างเผือก #DEK66,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['นิติศาสตร์', 'การสอบ']"
291,มีพี่ ๆ ที่เคยผ่านสัมโครงการแนะนำให้ได้มั้ยค้าบว่าสัมประมาณไหน  คณะไหนก็ได้แต่ถ้าอีค่อนจะดีมากเลยคับ ทักเรามารึเมนชั่นมาแล้วเราทักไปก็ด้าย #dek66 #ธรรมศาสตร์ช้างเผือก #ทีมมธ,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['เศรษฐศาสตร์', 'การสัมภาษณ์', 'คำแนะนำ']"
292,ทุกคนคิดว่าจะสัมคนละประมาณกี่นาทีคะ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],['การสัมภาษณ์']
299,"อยากรู้ว่า คนที่ผ่านสัม
 สังคมสงเคราะห์ ได้gat เท่าไรกันบ้างคะ ตอนนี้เครียดมากเลยฮือออ
#ทีมมธ
#ธรรมศาสตร์ช้างเผือก","['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['สังคมสงเคราะห์', 'สถิติผู้สมัคร']"
317,ใครสัมวารสารบ้างคับ รีวิวที #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['วารสาร', 'การสัมภาษณ์', 'คำแนะนำ']"
326,สอบถามเพื่อนๆที่ติดสัมช้างเผือกมธ คณะสังคมสงเคราะห์ค่ะ กรรมการถามเสร็จแล้วเขาขอดูบ้านมั้ยคะ #ทีมมธ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['สังคมสงเคราะห์', 'การสัมภาษณ์']"
332,ประกาศ9 มีนานี่คือคนที่ติดแล้วเลยมั้ยคะ หรือต้องรอหลังจากเขาลงพื้นที่ก่อน #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การประกาศผล', 'การคัดเลือก']"
333,9มีนานี่สรุปติดเลยมุ้ย #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],['การประกาศผล']
338,9มีนานี่ผ่านการสัมภาษณ์แล้วคนที่ผ่านนี่คือติดแล้ว แล้วลงพื้นที่อันนี้คือคัดเลือกง่าจะได้ทุนเต็มหรือทุนบางส่วนมั้ยคะหรือว่ายังไม่ติดเอ๊ะหรือยังไง #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'ทุนการศึกษา']","['การประกาศผล', 'การคัดเลือก']"
368,"ของคณะอื่นๆผู้ผ่านสัมมีจำนวนเท่าจำนวนรับจริงรึป่าวคะ
#ธรรมศาสตร์ช้างเผือก","['ธรรมศาสตร์ช้างเผือก', 'คณะ']",['สถิติผู้สมัคร']
340,ขอสอบถามได้ไหมคะ ที่ประกาศคือคนที่ติดแล้วใช่ไหมคะได้เรียนต่อในมหาลัยแล้วหรอคะ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การประกาศผล', 'การยืนยันสิทธิ์']"
342,"มีใครสัมวันนี้ไปแล้วบ้างคะ รีวิวหน่อยค้าบ
 #ธรรมศาสตร์ช้างเผือก",['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'รีวิว']"
343,"รีวิวสัมรอบสำรวจบ้าน #ธรรมศาสตร์ช้างเผือก
-ให้แนะนำตัวกับครอบครัว
-ถามเงินเก็บของเรา
-ถามหนี้สิน
-ถามการเตรียมตัวว่าเรียนพิเศษไหม หรืออ่านเอง
-ถามเรื่องพี่น้อง",['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'รีวิว', 'การเยี่ยมบ้าน']"
344,เราอยากรู้ว่าสัมรอบนี้เสร็จแล้วจะมีการมาลงเยี่ยมบ้านอีกมั้ยคับ หรือว่าสัมออนไลน์รอบนี้เสร็จแล้วจบเลย #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การเยี่ยมบ้าน', 'การสัมภาษณ์']"
345,รีวิวจากคนสัมเมื่อกี้ กรรมการถามว่าที่บ้านมีใครบ้าง คนในครอบครัวประกอบอาชีพอะไรเงินเดือนเท่าไหร่ มีหนี้สินอะไรบ้าง เดือนนึงใช้จ่ายเท่าไหร่ ไปโรงเรียนยังไง ส่วนใหญ่จะถามจากใบที่เราเคยกรอกตอนสมัครคับที่เหลือก็พาทัวร์บ้านห้องนอนห้องน้ำห้องครัวอะไรงี้ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'รีวิว', 'การเยี่ยมบ้าน']"
346,ใส่ชุดอะไรได้บ้างครับ? #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'การแต่งกาย']"
347,"รีวิวสัมภาษณ์วันนี้
-ถ้าไม่ติดทำยังไง? มีเงินสำรองไว้กี่บาท
-ถามเรื่องหนี้ กู้ไปทำไร กับใคร จ่ายเดือนละเท่าไหร่ 
-ถามค่าเทอมเรา
-ถ้าไปเรียนมหาลัย ครอบครัวสามารถช่วยได้เท่าไหร่
-มีเเพลนจะทำงานพิเศษมั้ย วางเเพลนไว้ยังไง
-มีค่าใช้จ่ายอะไรอีกมั้ยที่ต้องรับผิดชอบ
#ธรรมศาสตร์ช้างเผือก",['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'รีวิว']"
348,"รีวิวสำรวจบ้าน #ธรรมศาสตร์ช้างเผือก 
-แนะนำตัว
-ถามอาชีพของพ่อแม่ ผู้ออกค่าใช้จ่าย
-ถามเรื่องโรคประจำตัว
-ค่าใช้จ่าย
-รายได้หลัก เสริม
-ที่บ้านมีใครบ้าง
-สามารถออกค่าใช้จ่ายให้เท่าไหร่",['ธรรมศาสตร์ช้างเผือก'],"['การเยี่ยมบ้าน', 'การสัมภาษณ์', 'รีวิว']"
379,อันนี้ดูตรงไหนหรอคะ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],['การเข้าถึงข้อมูล']
362,ทำไมปีนี้ถึงสัมภาษณ์2รอบอ่า หรือเป็นปกติ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],['การสัมภาษณ์']
394,ในระบบ tcassเริ่มยืนยันสิทธิ์กี่โมงคะ พร้อมที่เว็บมหาลัยประกาศรึป่าว #ธรรมศาสตร์ช้างเผือก,"['ระบบ', 'ธรรมศาสตร์ช้างเผือก']","['การยืนยันสิทธิ์', 'เวลาประกาศผล']"
419,ทุนบางส่วนนี่รายละเอียดยังไงหรอคะ  #ธรรมศาสตร์ช้างเผือก,"['ทุนการศึกษา', 'ธรรมศาสตร์ช้างเผือก']",['รายละเอียดทุน']
420,ไม่ทราบว่า my tcas เปิดให้ยืนยันสิทธิ์กี่โมงหรอคะ #ธรรมศาสตร์ช้างเผือก,"['ระบบ', 'ธรรมศาสตร์ช้างเผือก']","['การยืนยันสิทธิ์', 'เวลาเปิดระบบ']"
409,ยินดีกับทุกคนที่ติดด้วยน้า ถ้าใครสงสัยเรื่องหอ เรื่องทุนถามเราได้น้า #ธรรมศาสตร์ช้างเผือก,"['ทุนการศึกษา', 'หอพัก', 'ธรรมศาสตร์ช้างเผือก']","['รายละเอียดทุน', 'กฎระเบียบหอพัก']"
429,เอกรวม คือเพื่อนๆที่เข้ามาในรอบ2งับ คือมหาวิทยาลัยจะกำหนดไว้เลยว่าใครจะเป็นเอกรวมบ้างอันได้แก่ ช้างเผือก ช้างกีฬา นักศึกษาเรียนดีภาคกลาง นักศึกษา3จังหวัด และช้างพิการงับ ทั้งนี้เอกรวมที่กล่าวมาก็ต้อง เก็บวิชา\เก็บเกรดตามเกณฑ์ที่กำหนด แล้วยื่นเข้าเอกในตอนกำลังจะขึ้นปี2นั่นเอง,['คณะ'],['ข้อมูล']
435,ต้องอยู่หอในทุกคนไหมคะ   #ธรรมศาสตร์ช้างเผือก,"['หอพัก', 'ธรรมศาสตร์ช้างเผือก']",['กฎระเบียบหอพัก']
448,สอบถามหน่อยค่า โครงการธรรมศาสตร์ช้างเผือกใช้เกียรติบัตรออนไลน์ได้มั้ยคะ #ธรรมศาสตร์ช้างเผือก #dek67  #มธ,"['เอกสาร', 'ธรรมศาสตร์ช้างเผือก']","['เอกสาร', 'การสมัคร']"
455,ส่วนใหญ่คนที่ผ่านโครงการได้ทีแก้ทกันประมานเท่าไหร่หรอคะ #tgat #dek67 #ธรรมศาสตร์ช้างเผือก,"['ทุนการศึกษา', 'ธรรมศาสตร์ช้างเผือก']","['สถิติผู้สมัคร', 'เกณฑ์การพิจารณา']"
439,อยากอ่านเรียงความของรุ่นพี่ #ธรรมศาสตร์ช้างเผือก พอมีรุ่นพี่คนไหนสะดวกใจให้ดูเป็นแนวทางไหมคะ,"['ธรรมศาสตร์ช้างเผือก', 'เอกสาร']","['เอกสาร', 'คำแนะนำ']"
440,"ทุกคนนนอยากรู้ว่า สามารถกรอกในไอแพดได้มั้ย แต่ตรงเป็นความเห็นครูจะเป็นปากกาจะได้มั้ย  #ธรรมศาสตร์ช้างเผือก
#ช้างเผือกมธ #dek67","['เอกสาร', 'ธรรมศาสตร์ช้างเผือก']","['การกรอกเอกสาร', 'เอกสาร']"
258,Tgat ผ่านเกณฑ์คือต้องได้คะแนนเท่าไรคะ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],['เกณฑ์การพิจารณา']
445,วาดแผนที่ไปบ้านยังไงหรอครับ ต้องวาดละเอียดขนาดไหนครับ? #ธรรมศาสตร์ช้างเผือก #dek67,"['ธรรมศาสตร์ช้างเผือก', 'เอกสาร']","['เอกสาร', 'การกรอกเอกสาร']"
444,ตรงที่ให้ใส่ภาพประกอบในหน้าต่างๆนี่เราต้องปริ้นมาแปะหรือว่าใส่รูปลงไปได้เลยคะ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'เอกสาร']","['เอกสาร', 'การกรอกเอกสาร']"
446,มีใครทราบมั้ยคะว่า​ คะเเนนต่ำสุดที่ติดวารสารปี​ 66​ คือเท่าไรหรอคะ​ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['วารสาร', 'สถิติผู้สมัคร']"
447,มีพี่ๆคนไหนติดสหเวชมั้ยคะ เราอยากทราบคะแนนคร่าวๆว่าเราพอมีสิทธิ์จะติดมั้ยㅠㅠ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['สหเวช', 'สถิติผู้สมัคร']"
590,มีรุ่นพี่ที่ติดรัฐศาตร์เอกการระหว่างประเทศไหมคะ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['รัฐศาสตร์', 'รุ่นพี่']"
591,มีใครยื่นสังวิทไหมคะ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['สังคมวิทยาและมานุษยวิทยา', 'เพื่อน']"
559,ทุนธรรมศาสตร์ช้างเผือกใช้คะแนน A-levelไหม? #dek67 #ธรรมศาสตร์ช้างเผือก #ช้างเผือกมธ,"['ธรรมศาสตร์ช้างเผือก', 'ทุนการศึกษา']","['คุณสมบัติผู้สมัคร', 'เกณฑ์การพิจารณา']"
562,ทุนช้างเผือกประกาศกี่โมงคะ #ช้างเผือกมธ #ธรรมศาสตร์ช้างเผือก #ทีมมธ,"['ธรรมศาสตร์ช้างเผือก', 'ทุนการศึกษา']","['การประกาศผล', 'เวลาประกาศผล']"
563,ใครพอจะแนะนำได้ไหมคะคือเราไปขอใบรับรองแพทย์มาแล้วไม่เห็นมีเรื่องสายตาเลยทั้งที่เราก็บอกหมอนะ มันจะใช้ได้ไหมคะหรือต้องขอใหม่ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'เอกสาร']","['เอกสาร', 'ใบรับรอง']"
564,มีรุ่นพี่คนไหนพอจะแนะนำเกี่ยวกับการสัมภาษณ์ของคณะเศรษฐศาสตร์ได้บ้างมั้ยคะ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['เศรษฐศาสตร์', 'การสัมภาษณ์', 'คำแนะนำ']"
565,มีพี่ๆ 66 คนไหนติดคณะเศรษฐศาสตร์ โครงการช้างเผือก มธ ไหมครับอยากถามข้อมูลหน่อยครับ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['เศรษฐศาสตร์', 'รุ่นพี่', 'ข้อมูล']"
566,มีรุ่นพี่คนไหนติดสัมบริหารมั้ยคะ อยากจะปรึกษาเรื่องสัมภาษณ์ #ธรรมศาสตร์ช้างเผือก #ช้างเผือกมธ #ทีมมธ,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['บริหารธุรกิจ', 'รุ่นพี่', 'การสัมภาษณ์']"
567,มีรุ่นพี่คนไหนติดคณะสังคมวิทยาและมานุษยวิทยาไหมคะ อยากปรึกษาเรื่องสัมภาษณ์ #ธรรมศาสตร์ช้างเผือก #ทีมมธ #dek67,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['สังคมวิทยาและมานุษยวิทยา', 'รุ่นพี่', 'การสัมภาษณ์']"
569,มีพี่คนไหนแนะนำการสัมคณะนิติได้มั้ยบ้างคะ #ธรรมศาสตร์ช้างเผือก #มธ #โครงการช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['นิติศาสตร์', 'การสัมภาษณ์', 'คำแนะนำ']"
580,มีใครสัม วิศวะเคมี มั้ยคะมาเมคเฟรนกันน #ช้างเผือกมธ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['วิศวกรรมศาสตร์', 'เพื่อน']"
583,เขาเริ่มรึยังคะ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'เวลาเปิดระบบ']"
581,มีใครสัมวิทเคมีมั้ย เป็นไงบ้าง  #ธรรมศาสตร์ช้างเผือก #ช้างเผือกมธ #ช้างเผือกธรรมศาสตร์ #ทีมมธ,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['วิทยาศาสตร์', 'เพื่อน']"
577,สัมนิติเป็นไงบ้างคะ #ธรรมศาสตร์ช้างเผือก #ทีมมธ #ช้างเผือกมธ,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['นิติศาสตร์', 'การสัมภาษณ์']"
574,ใครสัม ศิลศาสตร์ เอกอิ้ง เมคเฟรนกันไหมครับ TT #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['ศิลปศาสตร์', 'เพื่อน']"
573,รีวิวสอบสัมภาษณ์เสดสาดวันนี้คือจำลองตัวเองเป็นรัฐบาลฉ่ำ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['เศรษฐศาสตร์', 'การสัมภาษณ์', 'รีวิว']"
571,เสดสาดสัมกันกี่นาทีหรอคะ เรา9 #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['เศรษฐศาสตร์', 'การสัมภาษณ์']"
570,มีใครสัมบริหารบ้าง เดมหน่อยๆ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['บริหารธุรกิจ', 'เพื่อน']"
587,สาขาเรารับ 6 คน ติดสัมรอบล่าสุด 5 คน จะรับทุกคนไหมคะ เราติด IR ค่ะ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['รัฐศาสตร์', 'การคัดเลือก']"
586,ติดสัมครั้งนี้ แล้วจะชัวไหมคะว่าจะติดแน่นอน #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การคัดเลือก', 'ผลการพิจารณา']"
589,ใครผ่านสัมไปรอบที่3 บัญชีบัญชี ที่ตรวจบ้านบ้างคะ #ธรรมศาสตร์ช้างเผือก #มธช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['บัญชี', 'การเยี่ยมบ้าน']"
588,ใครผ่านศิลปศาสตร์บ้างคะะะ  #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['ศิลปศาสตร์', 'เพื่อน']"
584,มีใครพอบอกเงื่อนไขของโควต้ารอบนี้ได้ไหมคะ เราเคยอ่านเจอว่าต้องทำกิจกรรมให้อย่างน้อยสองกิจกรรมต่อเทอมเพื่อต่อทุน แต่เราหาเอกสารนั้นไม่เจอแล้วค่ะ  #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'ทุนการศึกษา']","['รายละเอียดทุน', 'การเข้าถึงข้อมูล']"
592,มีใครสัมภาษณ์รอบ2แล้วบ้างมั้ยคะ อยากคุยด้วยค่ะ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'เพื่อน']"
593,ใครสัมเกี่ยวกับบ้านเสร็จแล้วบ้างคะะ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การเยี่ยมบ้าน', 'เพื่อน']"
594,มีรุ่นพี่คนไหนติดสัมรอบเยี่ยมบ้านมั้ยคะ อยากสอบถาม #ช้างเผือกมธ #ช้างเผือกธรรมศาสตร์ #ธรรมศาสตร์ช้างเผือก #ทีมมธ,['ธรรมศาสตร์ช้างเผือก'],"['การเยี่ยมบ้าน', 'รุ่นพี่']"
596,รีวิวหน่อยจิ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['ข้อมูล', 'รีวิว']"
579,อาจารคุยดีมาก อาจารตอบคำถามหนุเยอะกว่าที่หนุตอบอีกค่ะจบเจ๊า #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'รีวิว']"
606,ประกาศกี่โมงหรอคะ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],['เวลาประกาศผล']
609,ประกาศกี่โมงคะ ลุ้นมากๆ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],['เวลาประกาศผล']
634,"เว็ปมหาลัยประกาศกี่โมงคะทุกคน พอดีเราอยากรู้รายละเอียดทุน
#ธรรมศาสตร์ช้างเผือก","['ธรรมศาสตร์ช้างเผือก', 'ทุนการศึกษา']","['เวลาประกาศผล', 'รายละเอียดทุน']"
625,รายละเอียดว่าได้ทุนประเภทไหน คือต้องรอประกาศจากมหาลัยใช่มั้ยครับ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'ทุนการศึกษา']","['รายละเอียดทุน', 'การประกาศผล']"
635,"ดูตรงไหนคะ
#ธรรมศาสตร์ช้างเผือก",['ธรรมศาสตร์ช้างเผือก'],['การเข้าถึงข้อมูล']
619,"ศิลปศาสตร์มีกลุ่มมั้ยคะ
#ธรรมศาสตร์ช้างเผือก","['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['ศิลปศาสตร์', 'กลุ่มไลน์']"
465,สวัสดีค่ะ มีพี่ ๆ คนไหน สัมรอบ 2 IA ไหมคะ อยากสอบถามรายละเอียกและการเตรียมหน่อยค่าา #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'คำแนะนำ']"
458,สวัสดีค่ะ มีพี่ ๆ คนไหน สัมรอบ 2 IA ไหมคะ อยากสอบถามรายละเอียกและการเตรียมหน่อยค่าา #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'คำแนะนำ']"
459,สวัสดีค่ะ มีพี่ ๆ คนไหน สัมรอบ 2 IA ไหมคะ อยากสอบถามรายละเอียกและการเตรียมหน่อยค่าา #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'คำแนะนำ']"
460,สวัสดีค่ะ มีพี่ ๆ คนไหน สัมรอบ 2 IA ไหมคะ อยากสอบถามรายละเอียกและการเตรียมหน่อยค่าา #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'คำแนะนำ']"
461,สวัสดีค่ะ มีพี่ ๆ คนไหน สัมรอบ 2 IA ไหมคะ อยากสอบถามรายละเอียกและการเตรียมหน่อยค่าา #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'คำแนะนำ']"
462,สวัสดีค่ะ มีพี่ ๆ คนไหน สัมรอบ 2 IA ไหมคะ อยากสอบถามรายละเอียกและการเตรียมหน่อยค่าา #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'คำแนะนำ']"
463,สวัสดีค่ะ มีพี่ ๆ คนไหน สัมรอบ 2 IA ไหมคะ อยากสอบถามรายละเอียกและการเตรียมหน่อยค่าา #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'คำแนะนำ']"
464,สวัสดีค่ะ มีพี่ ๆ คนไหน สัมรอบ 2 IA ไหมคะ อยากสอบถามรายละเอียกและการเตรียมหน่อยค่าา #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'คำแนะนำ']"
466,สวัสดีค่ะ มีพี่ ๆ คนไหน สัมรอบ 2 IA ไหมคะ อยากสอบถามรายละเอียกและการเตรียมหน่อยค่าา #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'คำแนะนำ']"
467,สวัสดีค่ะ มีพี่ ๆ คนไหน สัมรอบ 2 IA ไหมคะ อยากสอบถามรายละเอียกและการเตรียมหน่อยค่าา #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การสัมภาษณ์', 'คำแนะนำ']"
